slug,nameJapanese,nameEnglish,nameReading,members,location,agency,profileJa,profileEn,youtubeLink,spotifyId,websiteLink,xLink,instagramLink,tiktokLink,calendarLink,importFlag,notes
ray,RAY,RAY,rei,"Yuua Uchiyama,Shizuku Kotoyama,Mao Tsukiumi,Mikoto Tsumugi,Yuki Harune",TOKYO,SOVA,"極北を目指すオルタナティヴアイドル。

シューゲイズ、オルタナティブ・ロック、IDM、テクノを
恐れを知らぬ自由さで融合し、
RAYはライブアイドル・シーンで唯一無二の存在感を放つ——
幽玄なサウンドスケープと生々しいフィジカル・パフォーマンスが交差し、純粋な献身の果てに倒れるまで踊り続ける。

海外活動。2024年には「ASIA TOUR 2024」で韓国・ソウル（7月12〜14日）と中国・深圳（7月28日）を巡り、日本国外での複数都市展開を初めて実現した。

2025年には台北に再上陸し、5月11日にBreeze MEGA Studioでairatticとのツーマン公演を行った。

この勢いは4作目のアルバム『White』（2025年10月1日）と歩調を合わせており、リード曲「Bittersweet」はRIDEのMark Gardenerが作詞／プロデュースを担当。同曲はアルバムに先行して2025年9月3日に配信リリースされた。","Alternative idols in pursuit of the ultimate north.

Blending shoegaze, alternative rock, IDM, and techno with fearless freedom,
RAY radiates a singular presence in the live idol scene—
where ethereal soundscapes meet raw, physical performance,
dancing until they collapse in pure devotion.

Overseas activity. In 2024, RAY’s “ASIA TOUR 2024” reached Seoul (July 12–14) and Shenzhen, China (July 28), marking their first multi-city push outside Japan. 

In 2025, they returned to Taipei for a two-man at Breeze MEGA Studio with airattic on May 11. 

This momentum coincides with their 4th album White (Oct 1, 2025), led by “Bittersweet”—written/produced by Mark Gardener of RIDE—with the single released on Sept 3, 2025 ahead of the album.",https://www.youtube.com/@_RAY_world,11XXERdBUPHGsCBbpyaMwz,https://r-a-y.world/,https://x.com/_RAY_world,,,https://calendar.google.com/calendar/u/0/embed?src=a6vbjvl0vsl44bm4hbo3hj9kr8@group.calendar.google.com&ctz=Asia/Tokyo&pli=1,,
situasion,SITUASION,SITUASION,sichuashion,"Ayu,Karin Otsuki,Ami Hashiba,Hina Aoi,Kanon Kazama",TOKYO,ALLYOUNEEDS,"2020年に東京で結成されたSITUASIONは、ダークなエッジを帯びたJ-POPにロック／エレクトロニックの質感を融合させる5人組のオルタナ系アイドル・ユニット。エモーショナルなメロディ、トランス的に高まるビルドアップ、そしてカタルシスを生むドロップが、物語性の強い熱量高いステージを駆動している。

海外では、2024年10月にAnime Festival KasselとSamurai Museum Berlinで公演し、その後バンコクのJAPAN EXPO THAILAND 2025に出演。さらに2025年8月には、音楽コンテストEMERGENZAの日本ファイナルで準優勝（2位）を獲得した。","Formed in Tokyo in 2020, SITUASION is a five-member alt-idol unit blending dark-edged J-pop with rock/electronic textures—emotional melodies, trance-like builds, and cathartic drops power their intense, story-driven shows.

Abroad, they played Anime Festival Kassel (Oct 2024) and the Samurai Museum Berlin, then appeared at JAPAN EXPO THAILAND 2025 in Bangkok. In Aug 2025, they placed 2nd at the EMERGENZA Japan Final.",https://www.youtube.com/channel/UCuiVnW0z5Cvgcl84lf4MllQ,3DZHdWJBEltyQSd8krWwze,https://situasion.com/,https://x.com/SITUASION_INFO,,,https://calendar.google.com/calendar/u/0/embed?src=situasion.cal@gmail.com&ctz=Asia/Tokyo,,
ringwanderung,Ringwanderung,Ringwanderung,ringuwanderungu,"Karin Henmi,Rinko Sato,Akina Masuda,Nene Terao,Momone Shinoda",TOKYO,VERSE,"概要
リングワンデルングは2019年に東京で結成された5人組のオルタナ系アイドル。グループ名は“濃霧の中で同じ場所を回ってしまう現象”に由来し、「迷っても山頂へ登る」という意志を示す。所属レーベルはLonesome Record。アルバムは『Synchronism』（2021）、『synchrotron』（2022）、『新夜（aratayo）』（2024）を発表。 

音楽性
透明感のあるJ-POPメロディに**ピアノの旋律（ピアノモチーフ）**を核として、シンセやギターのレイヤー、EDM的なビルドアップとカタルシスを生むドロップを織り交ぜる。ドリーミーな中速曲からライブ映えするキラーチューンまで、ピアノが“グループの印”として全体を貫いているのが特徴。

海外での近況
2024年7月には台湾・新北市のZepp New Taipeiで開催された「TAIPEI CITY IDOL EXPO」に出演。2025年10月には台北の三日間フェス「IDOL KINGDOM TAIPEI」に参加し、10月10日のステージで「Last Summer Daydream」を披露している様子が記録されている。","Overview
Formed in Tokyo in 2019, Ringwanderung is a five-member alt-idol group whose name references the mountaineering term for “walking in circles” in fog—signaling a resolve to keep climbing toward the summit. They currently release on Lonesome Record, with albums Synchronism (2021), synchrotron (2022), and aratayo (2024). 

Music
Ringwanderung fuse bright J-pop melodies with piano-led motifs, airy synths, and guitar-driven swells, adding EDM-leaning builds and cathartic drops. The piano lines act as a signature thread—from dreamy mid-tempo numbers to live bangers—tying their cinematic, emotionally surging arrangements together.

Overseas activity (recent)
In July 2024, Ringwanderung performed at TAIPEI CITY IDOL EXPO at Zepp New Taipei—confirmed by the group’s post and event footage. In October 2025, they returned to Taiwan for the three-day IDOL KINGDOM TAIPEI in Taipei; on-site videos capture them performing “Last Summer Daydream” on Oct 10.",https://www.youtube.com/@ringwanderung_official,7pfNY6zsT1CYpRB8yW2MNL,https://ringwanderung-official.com/,https://x.com/RWR__OFFICIAL,,,https://ringwanderung-official.com/schedule/,,
airattic,airattic,airattic,earatikku,"Nene Kagura,Hinari Koizumi,Madoka Momose,Honoka Sakuragi,Ami Mukai",TOKYO,SOVA,"概要。 airatticは2022年2月結成の5人組アイドル（運営：SOVA LLC）。グループ名は「air（空気）」と「attic（屋根裏）」の造語で、「モラトリアム／都市／平熱の日常／20代」といった都市的テーマを掲げる。 

音楽性。 ギターロック×エレクトロを核に、静と動を往復するサウンドが持ち味。プロモーターの紹介でもシューゲイズ／オルタナ系の文脈と併走するテクスチャーが挙げられている。 

国外での近況。 2024年11月に上海で海外初公演（バンドセットのワンマンや関連イベントを含む）を実施。2025年5月には台北・Breeze MEGA Studioで**RAYとのツーマン（5/11）**に出演し、同週末に連動オフ会も開催した。","Overview.
airattic is a five-member Japanese idol group formed in February 2022 under SOVA LLC. The name combines “air” and “attic,” reflecting their urban, everyday-life themes—“moratorium / city / quiet daily scenes / 20s.” 

Musical style.
Centered on guitar-driven rock and electronic textures, airattic balances hushed, reflective moods with energetic, live-ready arrangements—often described by promoters alongside shoegaze/alt-rock lineages. 


Recent overseas activity.
The group made its overseas debut in Shanghai in Nov 2024 (including a band-set one-man and related events). In May 2025 they appeared in Taipei for a two-man with RAY at Breeze MEGA Studio (May 11), with auxiliary fan events that weekend.",https://www.youtube.com/@airattictokyo,0ivOJQm0lul3EPmhJ7MjnQ,https://airattic.tokyo/,https://x.com/airattic,,,,,
neochi,ねおち,neochi,,,,,「なんだか眠れないあなたに寄り添う、目を閉じても楽しめるアイドル」をコンセプトに2022年に結成。プロデューサーは室井ゆう、サウンドプロデュースは中川大二郎が担当。現在のメンバーはあーみん、れん、みやち、さやかの4名。ドリーミーで心地よいサウンドが特徴。,"Formed in 2022 with the concept of ""an idol who stays by your side when you can't sleep, and who you can enjoy even with your eyes closed."" Produced by Yu Muroi and sound-produced by Daijiro Nakagawa. The current four members are a-min, Ren, Miyachi, and Sayaka. Their music is characterized by a dreamy and comfortable sound.",,2RrU19yjoydtpdCkiviYV9,https://neochi-idol.com/,https://x.com/neochi_idol,,,,,
xoxoextreme,XOXO EXTREME,XOXO EXTREME,,,,,「プログレッシヴ・アイドルユニット」を名乗り、プログレッシヴ・ロックを中心とした楽曲で活動。通称「キスエク」。2016年より活動を開始し、11分を超える大曲を披露するなど、その音楽性で注目を集める。メンバーは一色萌、小日向まお、桃瀬せな、小嶋りん、横山陽依の5名。,"Known as the ""Progressive Idol Unit,"" they perform songs mainly in the progressive rock genre. Commonly known as ""Kiss Eki."" Active since 2016, they have gained attention for their musicality, including performing epic songs over 11 minutes long. The five members are Moe Hiiro, Mao Kohinata, Sena Momose, Rin Kojima, and Hiyori Yokoyama.",,67ODjXaRoj28wDc2wWgguS,,https://x.com/xoxo_extreme,,,,,
neojaponism,NEO JAPONISM,NEO JAPONISM,,,,,「闘う」をコンセプトに掲げ、困難から逃げずに立ち向かう姿勢を表現する女性アイドルグループ。通称「ネオジャポ」。J-POP、ロック、パンクを基調としたエネルギッシュなパフォーマンスが特徴。メンバーは朝倉あい、瀬戸みるか、滝沢ひなの、辰巳さやか、福田みゆ、泉なお、大和田ちよりの7名。,"A female idol group whose concept is ""to fight,"" expressing an attitude of confronting difficulties without running away. Commonly known as ""Neojapo."" They are characterized by energetic performances based on J-pop, rock, and punk. The seven members are Ai Asakura, Miruka Seto, Hinano Takizawa, Sayaka Tatsumi, Miyu Fukuda, Nao Izumi, and Chiyori Owada.",,5HumUo2OdKgqtpk2vz1A10,https://neojaponism.com/,https://x.com/NEOJAPONISMinfo,,,,,
kyurusihte,きゅるりんってしてみて,kyururintteshitemite,kyururintteshitemite,"Uta Shimamura,Yane Tamaki,Yuna Chiba,Amu Nigemizu",TOKYO,DEARSTAGE,"概要。 きゅるりんってしてみては2021年1月お披露目の東京発4人組アイドル。島村嬉唄／環やね／チバゆな／逃げ水あむで構成され、「カワイイ・リアリズム」を掲げてDEARSTAGEのもとで活動しています。 

音楽性。 キャッチーなJ-POPを軸に、電波ソングやエレクトロポップのテイストを取り入れたコール＆レスポンス映えのサウンドと、緻密な振付が特徴。近作／MV（「Special♡Spell」「Maison de 520」「カルテNo.2222」）にも、その多幸感と色彩感の強いステージングが表れています。 

国外での近況。 2025年10月時点の公式スケジュール／ニュースでは国内公演が中心で、海外公演の公式告知は確認できません。","Overview.
Kyururin te shitemite is a four-member Tokyo idol group that debuted in January 2021. The lineup—Uta Shimamura, Yane Tamaki, Yuna Chiba, and Amu Nigemizu—pursues a concept they call “cute realism,” and operates under DEARSTAGE. 

Musical style.
Their sound centers on bright, hyper-catchy J-pop with denpa-pop and electronic pop flavors, built for sing-along calls and tightly synced choreography. Recent releases and videos (“Special♡Spell,” “Maison de 520,” “Karte No.2222”) highlight the group’s sugar-rush hooks and vivid staging. 

Overseas activity (recent).
As of Oct 2025, the group’s official schedule and news list domestic shows only (including Japan tour and headline events); no officially announced overseas dates are posted.",https://www.youtube.com/channel/UC38ULbpGgiA7t6i-lbLu9VQ,1tIFdPigPQapjr9pOEDP7d,https://www.kyurushite.com/profile/?utm_source=chatgpt.com,https://x.com/KYURUSHITE,https://www.instagram.com/KYURUSHITE/,https://www.tiktok.com/@kyurushite,https://www.kyurushite.com/schedule/,,
passcode,PassCode,PassCode,pasuko-do,"Nao Minami,Kaede Takashima,Hinako Ogami,Emily Arima",OSAKA,WE-B STUDIOS,"概要。 PassCodeは2013年結成・大阪発の4人組エレクトロコア系アイドル。現メンバーは南菜生／高嶋楓／大上陽奈子／有馬えみり。2025年にはフルアルバム**『INSIGNIA』**をMoooD Recordsからリリース。 

音楽性。 メタルコアのリフやブレイクダウンと、EDMのドロップ、Auto-Tuneを伴うボーカル処理をミックス。J-POPのキャッチーさとラウドの攻撃性を往復するハイブリッドで、最新リード曲「DESTINEX」にもその志向が色濃く表れる。 

国外での近況。 2024年は北京／広州／上海／台北（CORNER MAX）／ソウル（West Bridge Live Hall・2公演）を巡るASIA TOURを実施し、12月に日本のZepp公演で締めくくり。2025年はアルバム期の国内ツアー（“DESTINY to the NEXT TOUR 2025”）が中心で、2025年10月時点で新たな海外公演は公式未発表です。","Overview.
PassCode is a four-member electronicore/metal idol group from Osaka, formed in 2013 and now signed to MoooD Records. The current lineup—Nao Minami, Kaede Takashima, Hinako Ogami, and Emily Arima—fronts a live band and has released the 2025 full album INSIGNIA. 

Musical style.
Their sound fuses metalcore riffs, breakdowns, and harsh/clean vocal trade-offs with EDM drops and Auto-Tune—bridging J-pop hooks and pit-ready heaviness. Recent singles like “DESTINEX” (lead track of INSIGNIA) continue this hybrid approach. 

Recent overseas activity.
In late 2024, PassCode ran an ASIA TOUR including Beijing, Guangzhou, Shanghai, Taipei (CORNER MAX), and Seoul (West Bridge Live Hall, 2 days), then wrapped with large Zepp dates in Japan that December. In 2025, activity centers on Japan—album promotion and the “DESTINY to the NEXT TOUR 2025”—with no new overseas dates officially announced as of Oct 2025.",https://www.youtube.com/@PASSCODE0000/featured,6AIX7SZPkjZ2u7gZaw1uQo,https://overseas.passcode-official.com/,https://x.com/passcodeo,https://www.instagram.com/passcodeo/,https://www.tiktok.com/@passcode_o?is_from_webapp=1&sender_device=pc,,,
candytune,CANDY TUNE,CANDY TUNE,,,,,アソビシステムが手掛けるアイドルプロジェクト「KAWAII LAB.」から2023年にデビューした7人組女性アイドルグループ。グループ名は、個性豊かなメンバーとポップな旋律を表現。メンバーは村川緋杏、桐原美月、福山梨乃、小川奈々子、南なつ、宮野静、立花琴未の7名。,"A seven-member female idol group that debuted in 2023 from Asobisystem's idol project ""KAWAII LAB."" The group's name expresses the unique members and pop melodies. The seven members are Bibian Murakawa, Mizuki Kirihara, Rino Fukuyama, Nanako Ogawa, Natsu Minami, Shizuka Miyano, and Kotomi Tachibana.",,4Yq4M6kdQTjkPBOp7aPJrA,https://asobisystem.com/,https://x.com/CANDY_TUNE_,,,,,
